Match_Number,Date_Time,Venue,Team_1,Team_1_Score,Team_2,Team_2_Score,winner,winning_margin
26,"APR, FRI 12 , 7:30 pm IST","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,",Lucknow Super Giants,167/7,Delhi Capitals,170/4,DELHI CAPITALS,6 WICKETS
25,"APR, THU 11 , 7:30 pm IST","Wankhede Stadium,",Mumbai Indians,199/3,Royal Challengers Bengaluru,196/8,MUMBAI INDIANS,7 WICKETS
24,"APR, WED 10 , 7:30 pm IST","Sawai Mansingh Stadium,",Rajasthan Royals,196/3,Gujarat Titans,199/7,GUJARAT TITANS,3 WICKETS
23,"APR, TUE 9 , 7:30 pm IST","PCA New Stadium,",Punjab Kings,180/6,Sunrisers Hyderabad,182/9,SUNRISERS HYDERABAD,2 RUNS
22,"APR, MON 8 , 7:30 pm IST","MA Chidambaram Stadium,",Chennai Super Kings,141/3,Kolkata Knight Riders,137/9,CHENNAI SUPER KINGS,7 WICKETS
21,"APR, SUN 7 , 7:30 pm IST","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,",Lucknow Super Giants,163/5,Gujarat Titans,130,LUCKNOW SUPER GIANTS,33 RUNS
20,"APR, SUN 7 , 3:30 pm IST","Wankhede Stadium,",Mumbai Indians,234/5,Delhi Capitals,205/8,MUMBAI INDIANS,29 RUNS
19,"APR, SAT 6 , 7:30 pm IST","Sawai Mansingh Stadium,",Rajasthan Royals,189/4,Royal Challengers Bengaluru,183/3,RAJASTHAN ROYALS,6 WICKETS
18,"APR, FRI 5 , 7:30 pm IST","Rajiv Gandhi International Stadium,",Sunrisers Hyderabad,166/4,Chennai Super Kings,165/5,SUNRISERS HYDERABAD,6 WICKETS
17,"APR, THU 4 , 7:30 pm IST","Narendra Modi Stadium,",Gujarat Titans,199/4,Punjab Kings,200/7,PUNJAB KINGS,3 WICKETS
16,"APR, WED 3 , 7:30 pm IST","Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium,",Delhi Capitals,166,Kolkata Knight Riders,272/7,KOLKATA KNIGHT RIDERS,106 RUNS
15,"APR, TUE 2 , 7:30 pm IST","M Chinnaswamy Stadium,",Royal Challengers Bengaluru,153,Lucknow Super Giants,181/5,LUCKNOW SUPER GIANTS,28 RUNS
14,"APR, MON 1 , 7:30 pm IST","Wankhede Stadium,",Mumbai Indians,125/9,Rajasthan Royals,127/4,RAJASTHAN ROYALS,6 WICKETS
13,"MAR, SUN 31 , 7:30 pm IST","Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium,",Delhi Capitals,191/5,Chennai Super Kings,171/6,DELHI CAPITALS,20 RUNS
12,"MAR, SUN 31 , 3:30 pm IST","Narendra Modi Stadium,",Gujarat Titans,168/3,Sunrisers Hyderabad,162/8,GUJARAT TITANS,7 WICKETS
11,"MAR, SAT 30 , 7:30 pm IST","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,",Lucknow Super Giants,199/8,Punjab Kings,178/5,LUCKNOW SUPER GIANTS,21 RUNS
10,"MAR, FRI 29 , 7:30 pm IST","M Chinnaswamy Stadium,",Royal Challengers Bengaluru,182/6,Kolkata Knight Riders,186/3,KOLKATA KNIGHT RIDERS,7 WICKETS
9,"MAR, THU 28 , 7:30 pm IST","Sawai Mansingh Stadium,",Rajasthan Royals,185/5,Delhi Capitals,173/5,RAJASTHAN ROYALS,12 RUNS
8,"MAR, WED 27 , 7:30 pm IST","Rajiv Gandhi International Stadium,",Sunrisers Hyderabad,277/3,Mumbai Indians,246/5,SUNRISERS HYDERABAD,31 RUNS
7,"MAR, TUE 26 , 7:30 pm IST","MA Chidambaram Stadium,",Chennai Super Kings,206/6,Gujarat Titans,143/8,CHENNAI SUPER KINGS,63 RUNS
6,"MAR, MON 25 , 7:30 pm IST","M Chinnaswamy Stadium,",Royal Challengers Bengaluru,178/6,Punjab Kings,176/6,ROYAL CHALLENGERS BENGALURU,4 WICKETS
5,"MAR, SUN 24 , 7:30 pm IST","Narendra Modi Stadium,",Gujarat Titans,168/6,Mumbai Indians,162/9,GUJARAT TITANS,6 RUNS
4,"MAR, SUN 24 , 3:30 pm IST","Sawai Mansingh Stadium,",Rajasthan Royals,193/4,Lucknow Super Giants,173/6,RAJASTHAN ROYALS,20 RUNS
3,"MAR, SAT 23 , 7:30 pm IST","Eden Gardens,",Kolkata Knight Riders,208/7,Sunrisers Hyderabad,204/7,KOLKATA KNIGHT RIDERS,4 RUNS
2,"MAR, SAT 23 , 3:30 pm IST","PCA New Stadium,",Punjab Kings,177/6,Delhi Capitals,174/9,PUNJAB KINGS,4 WICKETS
1,"MAR, FRI 22 , 8:00 pm IST","MA Chidambaram Stadium,",Chennai Super Kings,176/4,Royal Challengers Bengaluru,173/6,CHENNAI SUPER KINGS,6 WICKETS
